sensor_id, timestamp, count
1749,'2016-07-09 17',372
1749,'2016-07-09 18',235
1749,'2016-07-09 19',28
1749,'2016-07-09 20',30
1749,'2016-07-09 21',23
1749,'2016-07-09 23',1
1749,'2016-07-10 01',2
1749,'2016-07-10 05',1
1749,'2016-07-10 06',1
1749,'2016-07-10 07',9
1749,'2016-07-10 08',6
1749,'2016-07-10 09',5
1749,'2016-07-10 10',4
1749,'2016-07-10 11',2
1749,'2016-07-10 12',1
1749,'2016-07-10 14',179
1749,'2016-07-10 15',751
1749,'2016-07-10 16',376
1749,'2016-07-10 17',259
1749,'2016-07-10 18',187
1749,'2016-07-10 19',46
1749,'2016-07-10 21',1
1750,'2016-07-08 14',27
1750,'2016-07-08 15',337
1750,'2016-07-08 16',486
1750,'2016-07-08 17',364
1750,'2016-07-08 18',87
1750,'2016-07-09 05',1
1750,'2016-07-09 07',3
1750,'2016-07-09 14',271
1750,'2016-07-09 15',352
1750,'2016-07-09 16',293
1750,'2016-07-09 17',353
1750,'2016-07-09 18',191
1750,'2016-07-10 14',269
1750,'2016-07-10 15',219
1750,'2016-07-10 16',149
1751,'2016-07-08 05',1
1751,'2016-07-08 08',14
1751,'2016-07-08 09',13
1751,'2016-07-08 10',11
1751,'2016-07-08 11',12
1751,'2016-07-08 12',16
1751,'2016-07-08 13',24
1751,'2016-07-08 14',36
1751,'2016-07-08 15',224
1751,'2016-07-08 16',242
1751,'2016-07-08 17',210
1751,'2016-07-08 18',171
1751,'2016-07-09 05',1
1751,'2016-07-09 06',2
1751,'2016-07-09 07',1
1751,'2016-07-09 08',1
1751,'2016-07-09 14',170
1751,'2016-07-09 15',208
1751,'2016-07-09 16',224
1751,'2016-07-09 17',227
1751,'2016-07-09 18',133
1751,'2016-07-10 10',3
1751,'2016-07-10 11',2
1751,'2016-07-10 12',3
1751,'2016-07-10 13',1
1751,'2016-07-10 14',185
1751,'2016-07-10 15',306
1751,'2016-07-10 16',288
1752,'2016-07-08 00',23
1752,'2016-07-08 01',16
1752,'2016-07-08 02',8
1752,'2016-07-08 03',6
1752,'2016-07-08 04',12
1752,'2016-07-08 05',49
1752,'2016-07-08 06',100
1752,'2016-07-08 07',118
1752,'2016-07-08 08',173
1752,'2016-07-08 09',197
1752,'2016-07-08 10',219
1752,'2016-07-08 11',173
1752,'2016-07-08 12',165
1752,'2016-07-08 13',193
