sensor_id, timestamp, count
1752,'2016-07-08 20',152
1752,'2016-07-08 21',138
1752,'2016-07-08 22',126
1752,'2016-07-08 23',52
1752,'2016-07-09 00',26
1752,'2016-07-09 01',15
1752,'2016-07-09 02',15
1752,'2016-07-09 03',12
1752,'2016-07-09 04',83
1752,'2016-07-09 05',273
1752,'2016-07-09 06',558
1752,'2016-07-09 07',560
1752,'2016-07-09 08',518
1752,'2016-07-09 09',457
1752,'2016-07-09 10',378
1752,'2016-07-09 11',286
1752,'2016-07-09 12',200
1752,'2016-07-09 13',96
1752,'2016-07-09 14',101
1752,'2016-07-09 15',104
1752,'2016-07-09 16',172
1752,'2016-07-09 17',192
1752,'2016-07-09 18',201
1752,'2016-07-09 19',186
1752,'2016-07-09 20',127
1752,'2016-07-09 21',105
1752,'2016-07-09 22',62
1752,'2016-07-09 23',37
1752,'2016-07-10 00',25
1752,'2016-07-10 01',29
1752,'2016-07-10 02',21
1752,'2016-07-10 03',26
1752,'2016-07-10 04',140
1752,'2016-07-10 05',370
1752,'2016-07-10 06',420
1752,'2016-07-10 07',629
1752,'2016-07-10 08',599
1752,'2016-07-10 09',585
1752,'2016-07-10 10',491
1752,'2016-07-10 11',347
1752,'2016-07-10 12',177
1752,'2016-07-10 13',60
1752,'2016-07-10 14',5
1752,'2016-07-10 15',4
1752,'2016-07-10 16',5
1752,'2016-07-10 17',4
1752,'2016-07-10 18',21
1752,'2016-07-10 19',248
1752,'2016-07-10 20',147
1752,'2016-07-10 21',61
1752,'2016-07-10 22',38
1752,'2016-07-10 23',46
1753,'2016-07-08 05',2
1753,'2016-07-08 06',4
1753,'2016-07-08 07',22
1753,'2016-07-08 08',12
1753,'2016-07-08 09',3
1753,'2016-07-08 10',5
1753,'2016-07-08 11',5
1753,'2016-07-08 12',3
1753,'2016-07-08 13',1
1753,'2016-07-08 14',3
1753,'2016-07-08 15',6
1753,'2016-07-08 16',3
1753,'2016-07-08 17',8
1753,'2016-07-08 18',3
1753,'2016-07-08 19',3
1753,'2016-07-08 20',3
1753,'2016-07-08 22',1
1753,'2016-07-08 23',2
1753,'2016-07-09 01',2
1753,'2016-07-09 02',4
1753,'2016-07-09 04',2
1753,'2016-07-09 05',2
1753,'2016-07-09 06',4
1753,'2016-07-09 07',4
1753,'2016-07-09 08',143
1753,'2016-07-09 09',269
1753,'2016-07-09 10',3
1753,'2016-07-09 11',1
1753,'2016-07-09 12',4
1753,'2016-07-09 13',3
1753,'2016-07-09 14',1
1753,'2016-07-09 15',4
1753,'2016-07-09 16',4
1753,'2016-07-09 17',7
1753,'2016-07-09 19',4
1753,'2016-07-09 21',7
1753,'2016-07-09 23',1
1753,'2016-07-10 00',1
1753,'2016-07-10 01',1
1753,'2016-07-10 03',1
1753,'2016-07-10 04',2
1753,'2016-07-10 05',9
1753,'2016-07-10 06',194
1753,'2016-07-10 07',658
1753,'2016-07-10 08',595
1753,'2016-07-10 09',532
1753,'2016-07-10 10',123
1753,'2016-07-10 11',35
1753,'2016-07-10 12',11
1753,'2016-07-10 13',2
1753,'2016-07-10 14',3
1753,'2016-07-10 15',14
1753,'2016-07-10 16',2
1753,'2016-07-10 17',5
1753,'2016-07-10 18',16
1753,'2016-07-10 19',2
1753,'2016-07-10 20',3
1753,'2016-07-10 21',1
1753,'2016-07-10 22',1
1753,'2016-07-10 23',1
1754,'2016-07-08 00',1
1754,'2016-07-08 01',1
1754,'2016-07-08 03',2
1754,'2016-07-08 04',60
1754,'2016-07-08 05',185
1754,'2016-07-08 06',106
1754,'2016-07-08 07',67
1754,'2016-07-08 08',111
1754,'2016-07-08 09',185
1754,'2016-07-08 10',133
1754,'2016-07-08 11',89
1754,'2016-07-08 12',96
1754,'2016-07-08 13',86
1754,'2016-07-08 14',66
1754,'2016-07-08 15',30
1754,'2016-07-08 16',14
1754,'2016-07-08 17',28
1754,'2016-07-08 18',25
1754,'2016-07-08 19',26
1754,'2016-07-08 20',30
1754,'2016-07-08 21',13
1754,'2016-07-08 22',10
1754,'2016-07-08 23',3
1754,'2016-07-09 00',1
1754,'2016-07-09 04',54
1754,'2016-07-09 05',203
1754,'2016-07-09 06',178
1754,'2016-07-09 07',200
1754,'2016-07-09 08',164
1754,'2016-07-09 09',130
1754,'2016-07-09 10',106
1754,'2016-07-09 11',122
1754,'2016-07-09 12',75
1754,'2016-07-09 13',28
1754,'2016-07-09 14',15
1754,'2016-07-09 15',18
1754,'2016-07-09 16',9
1754,'2016-07-09 17',15
1754,'2016-07-09 18',21
1754,'2016-07-09 19',26
1754,'2016-07-09 20',10
1754,'2016-07-09 21',11
1754,'2016-07-09 22',6
1754,'2016-07-10 04',107
1754,'2016-07-10 05',265
1754,'2016-07-10 06',164
1754,'2016-07-10 07',259
1754,'2016-07-10 08',269
1754,'2016-07-10 09',207
1754,'2016-07-10 10',178
1754,'2016-07-10 11',131
1754,'2016-07-10 12',60
1754,'2016-07-10 13',13
1754,'2016-07-10 14',4
1754,'2016-07-10 15',2
1754,'2016-07-10 16',2
1754,'2016-07-10 17',1
1754,'2016-07-10 18',7
1754,'2016-07-10 19',12
1754,'2016-07-10 20',7
1754,'2016-07-10 21',4
1754,'2016-07-10 22',2
